날짜,제목,언론사,URL
2025.05.07 18:08,"우리銀, 우크라 재건 참여 韓기업 지원한다",파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346157&office_id=014&code=000270&page=1&sm=
2025.05.07 17:50,원·달러 환율 급락에…항공·에너지·음식료株 웃었다,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128587&office_id=015&code=000270&page=1&sm=
2025.05.07 17:38,"노동부 차관 ""6월 필리핀 가사관리사 본사업, 쉽지 않다""",노컷뉴스,https://finance.naver.com/item/news_read.naver?article_id=0004021310&office_id=079&code=000270&page=1&sm=
2025.05.07 17:25,"현대차그룹, 철수한 러시아서 상표권 또 등록",서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003539441&office_id=081&code=000270&page=1&sm=
2025.05.07 17:09,"""트럼프발 車산업 위기, 정부 선택과 집중 지원 필요""",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952936&office_id=029&code=000270&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=000270&page=1&sm=
2025.05.07 16:54,"코스피, 미중 무역협상 기대감에도 강보합 마감…한화에어로 `급등`",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952928&office_id=029&code=000270&page=1&sm=
2025.05.07 16:47,북미·유럽 잇달아 전기차 보조금 축소…전기차 판매 더 줄어드나,중앙일보,https://finance.naver.com/item/news_read.naver?article_id=0003439217&office_id=025&code=000270&page=1&sm=
2025.05.07 16:43,"코스피, 외인·기관 쌍끌이에 상승…2570선 '회복'",아시아경제,https://finance.naver.com/item/news_read.naver?article_id=0005588730&office_id=277&code=000270&page=1&sm=
2025.05.07 16:16,1억 넣으면 계좌에 꽂히는 돈이…1년 만에 '화들짝',한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128514&office_id=015&code=000270&page=1&sm=
2025.05.07 15:48,"코스피, 외인·기관 매수에 상승 마감…코스닥도 상승 반전",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007044&office_id=018&code=000270&page=2&sm=
2025.05.07 15:47,"트럼프 車운반선 관세에…현대글로비스, 中자동차와 밀착?",중앙일보,https://finance.naver.com/item/news_read.naver?article_id=0003439188&office_id=025&code=000270&page=2&sm=
2025.05.07 15:07,코스피 제한적 상승…기관 폭풍 매수,SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000439072&office_id=374&code=000270&page=2&sm=
