날짜,제목,언론사,URL
2025.05.07 19:52,"이재용, 빅딜 재시동… 삼성, 명품 `B&W` 인수",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002953007&office_id=029&code=005380&page=1&sm=
2025.05.07 19:19,"아이오닉 닮은 현대 중국용 전기차…흥행은 ""글쎄요""[현장에서]",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007252&office_id=018&code=005380&page=1&sm=
2025.05.07 19:14,김동원 한화생명 사장 입지 흔들…캐롯손보 실패 떠안은 한화손보 미...,경기일보,https://finance.naver.com/item/news_read.naver?article_id=0000071981&office_id=666&code=005380&page=1&sm=
2025.05.07 19:04,"'황제주' 향해 진격 앞으로…한화에어로, 현대차 제치고 '시총 5위'",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190641&office_id=008&code=005380&page=1&sm=
2025.05.07 18:35,방산·조선주 '호재 만발' 신고가 질주,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346210&office_id=014&code=005380&page=1&sm=
2025.05.07 18:30,[기획] `엎친데 덮친` 수출 대기업… 관세전쟁 이어 환율전쟁,디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952983&office_id=029&code=005380&page=1&sm=
2025.05.07 18:14,"현대차, 인도서 연 100만대 생산시대 연다",파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346170&office_id=014&code=005380&page=1&sm=
2025.05.07 18:08,"우리銀, 우크라 재건 참여 韓기업 지원한다",파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346157&office_id=014&code=005380&page=1&sm=
2025.05.07 18:03,"현대제철, 58억달러 규모 미국 루이지애나 제철소 건설",블로터,https://finance.naver.com/item/news_read.naver?article_id=0000066986&office_id=293&code=005380&page=1&sm=
2025.05.07 17:50,원·달러 환율 급락에…항공·에너지·음식료株 웃었다,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128587&office_id=015&code=005380&page=1&sm=
2025.05.07 17:48,"스토케, 프리미엄 하이체어 트립트랩 신규컬러 출시",매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488400&office_id=009&code=005380&page=2&sm=
2025.05.07 17:46,"한화에어로 최고가 경신, 시총 40조…현대차 제쳐",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128576&office_id=015&code=005380&page=2&sm=
