날짜,제목,언론사,URL
2025.05.07 18:37,정부 기후테크 스타트업 육성… 최대 6억원 지원,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346215&office_id=014&code=005490&page=1&sm=
2025.05.07 18:25,철강·화학 1등끼리 뭉쳤다…포스코·LG화학 '탄소저감' 협력,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128655&office_id=015&code=005490&page=1&sm=
2025.05.07 17:50,원·달러 환율 급락에…항공·에너지·음식료株 웃었다,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128587&office_id=015&code=005490&page=1&sm=
2025.05.07 17:21,"‘마지막 퍼즐’ 방배15구역 재건축, 포스코이앤씨와 격돌할 건설사는.....",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952948&office_id=029&code=005490&page=1&sm=
2025.05.07 17:00,"""한강변 잡자""… 재건축 수주 별들의 전쟁",매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488338&office_id=009&code=005490&page=1&sm=
2025.05.07 16:54,"코스피, 미중 무역협상 기대감에도 강보합 마감…한화에어로 `급등`",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952928&office_id=029&code=005490&page=1&sm=
2025.05.07 16:53,6월부터 민간아파트 '제로에너지' 의무화…분양가 또 오를까,이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007111&office_id=018&code=005490&page=1&sm=
2025.05.07 16:16,"“철강·화학이 주도하는 탄소중립 시대”… LG화학·포스코, CCU 실증...",세계일보,https://finance.naver.com/item/news_read.naver?article_id=0004033460&office_id=022&code=005490&page=1&sm=
2025.05.07 15:31,'투 알드 주이·더 헤리티지 핸드윅' 컨셉 적용…'더샵 일산엘로이 펜....,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128462&office_id=015&code=005490&page=1&sm=
2025.05.07 15:08,"탄력 붙는 정비사업…HUG, 작년 사업장 대출보증 19조 돌파",데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953266&office_id=119&code=005490&page=1&sm=
2025.05.07 15:07,코스피 제한적 상승…기관 폭풍 매수,SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000439072&office_id=374&code=005490&page=2&sm=
2025.05.07 15:02,'전역 후 나의 일자리는?' 2025년 국군장병 취업박람회 '북적' [...,뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013226727&office_id=003&code=005490&page=2&sm=
2025.05.07 14:55,"[대기업집단 공시 대해부] SK, 계열사 줄여 쇄신…든든한 버팀목 'S...",블로터,https://finance.naver.com/item/news_read.naver?article_id=0000066956&office_id=293&code=005490&page=2&sm=
2025.05.07 14:37,"삼성이 포기한 잠실우성, 자이 브랜드로 재탄생하나",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006985&office_id=018&code=005490&page=2&sm=
2025.05.07 14:08,"LG화학·포스코홀딩스, CCU기술 실증사업…“철강 탄소를 화학 원료로....",중앙일보,https://finance.naver.com/item/news_read.naver?article_id=0003439158&office_id=025&code=005490&page=2&sm=
2025.05.07 13:24,"""안전·품질 위해 공기 연장 불가피""…현대건설, 가덕도신공항 사유서.....",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013226367&office_id=003&code=005490&page=2&sm=
2025.05.07 13:19,"포스코홀딩스, LG화학과 탄소저감 시너지 극대화",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952837&office_id=029&code=005490&page=2&sm=
2025.05.07 11:42,내수 침체·관세 파고 넘는 철강사들...체질개선·차별화 ‘총력’,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953171&office_id=119&code=005490&page=2&sm=
2025.05.07 10:50,가짜 아파트 분양 홈페이지 '기승'…개인정보 유출 주의보,뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008234419&office_id=421&code=005490&page=2&sm=
2025.05.07 10:04,대구신흥 랜드마크 속도내는 벤처밸리네거리… 어나드 범어도 뜬다,디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952743&office_id=029&code=005490&page=2&sm=
2025.05.07 09:49,지역 최상급지 신축 하이엔드 아파트 자산가 쏠림 지속,헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467356&office_id=016&code=005490&page=3&sm=
2025.05.07 09:03,'탈탄소 산업'도 탈조선...철강·배터리까지 미국행 [ESG 뉴스 5],한경비즈니스,https://finance.naver.com/item/news_read.naver?article_id=0000090411&office_id=050&code=005490&page=3&sm=
2025.05.07 07:58,"""가정용으로 승부 본다"" LG, '휴머노이드 전쟁' 참전…고물가 속 2...",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482083&office_id=011&code=005490&page=3&sm=
2025.05.07 07:43,'휴머노이드 전쟁' 참전하는 LG…가정용으로 승부 본다,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482075&office_id=011&code=005490&page=3&sm=
2025.05.07 05:40,서울 재건축 대형 건설사 '독식'…중견사 설 자리 없다,뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008233702&office_id=421&code=005490&page=3&sm=
