날짜,제목,언론사,URL
2025.05.07 17:32,"코스피, 미-중 협상 재개에도 의약품관세가 발목...14p↑ 강보합 마...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358463&office_id=123&code=005935&page=1&sm=
2025.05.07 17:13,[트럼프 스트레스] 미중 무역협상 기대감과 FOMC 관망세 혼재…국내 ...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953352&office_id=119&code=005935&page=1&sm=
2025.05.07 16:29,코스피 0.55% 오른 2573.80 마감… 한화에어로 8.8% 상승,머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075338&office_id=417&code=005935&page=1&sm=
2025.05.07 16:00,"4일 쉰 코스피, 외인·기관 매수 속 강보합…환율 변동성 확대",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387813&office_id=629&code=005935&page=1&sm=
2025.05.07 13:58,"코스피, 2560선에서 강보합… 원/달러 환율 1390원대 기록",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075271&office_id=417&code=005935&page=1&sm=
2025.05.07 10:17,"[시황] 코스피, FOMC·의약품 관세 경계감에 관망세…코스닥 약보합",데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953100&office_id=119&code=005935&page=1&sm=
2025.05.07 09:50,"코스피, 미중 무역협상 진행 소식에 상승 출발…환율은 1380원 개장",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387607&office_id=629&code=005935&page=1&sm=
2025.05.07 09:16,"연휴 끝난 코스피, 미중 무역협상 기대감에 2570선 출발",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001074940&office_id=366&code=005935&page=1&sm=
2025.05.05 14:54,"""장난감 대신 주식"" 리틀개미, 120만 시대…삼성전자 가고 美 ETF...",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008231850&office_id=421&code=005935&page=1&sm=
2025.05.05 06:01,"미성년 자녀 사준 국내 주식, 美ETF·SK하이닉스 빼고는 전부 마이너...",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001074685&office_id=366&code=005935&page=1&sm=
2025.05.02 17:28,"‘유심 해킹’ SKT, 기관·외국인 ‘팔자’ 행렬에 주가 내리막",주간동아,https://finance.naver.com/item/news_read.naver?article_id=0000036268&office_id=037&code=005935&page=2&sm=
2025.05.02 17:03,"연휴 앞둔 코스피·코스닥, 상승 마감… SK하이닉스 4.79%↑",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001074861&office_id=417&code=005935&page=2&sm=
2025.05.02 16:46,"코스피, 미-중 협상 재개에도 연휴 전 관망세... 3p '↑' 강보합...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358307&office_id=123&code=005935&page=2&sm=
2025.05.02 16:40,[S리포트] ①부모 손잡고 시작한 주식 투자… 2명 중 1명 '삼성전자...,머니S,https://finance.naver.com/item/news_read.naver?article_id=0001074854&office_id=417&code=005935&page=2&sm=
2025.05.02 16:24,"코스피, 4일 휴장 앞두고 강보합 마감…환율 1400원대 '뚝'",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387174&office_id=629&code=005935&page=2&sm=
2025.05.02 16:20,"[시황] 연휴 앞둔 코스피, 관망세 속 강보합…2550선 마무리",데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002952291&office_id=119&code=005935&page=2&sm=
2025.05.02 16:10,"연휴 앞둔 증시, 관망세…이재명 울고, 한덕수 웃었다[시황종합]",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008228883&office_id=421&code=005935&page=2&sm=
2025.05.02 10:29,[시황] 정국 불안에 투심 위축…코스피 2550대 약보합 출발,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002952106&office_id=119&code=005935&page=2&sm=
2025.05.02 10:14,"등락 반복 코스피, 0.04% 상승세… SK하이닉스 1.86% 올라",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001074708&office_id=417&code=005935&page=2&sm=
2025.05.02 10:11,"코스피, 美 증시 훈풍에도 정치 불확실성 확대 하락 출발…환율은↑",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000386989&office_id=629&code=005935&page=2&sm=
2025.05.02 09:29,'징검다리 휴장' 속 코스피 관망세…'정치 테마주'는 들썩[개장시황],뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008227598&office_id=421&code=005935&page=3&sm=
2025.05.01 07:28,"[마켓 프리뷰] 휴장 앞둔 국내증시, 기업 호실적에도 종일 약보합세",SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000438325&office_id=374&code=005935&page=3&sm=
2025.04.30 18:10,"코스피, 휴장 앞둔 기관 매도에...하루만에 9p 하락 전환",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358213&office_id=123&code=005935&page=3&sm=
2025.04.30 17:27,"코스피, 연휴 앞두고 관망세… 2550선 약보합 마감",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001074522&office_id=417&code=005935&page=3&sm=
2025.04.30 17:08,[시황] 휴장 전 경계심리 '관망세'…코스피 2550대 하락 마감,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002951563&office_id=119&code=005935&page=3&sm=
2025.04.30 16:39,"코스피, 휴장 앞둔 경계감에 2550선 하락[마감시황]",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013216582&office_id=003&code=005935&page=3&sm=
2025.04.30 16:02,"휴장 앞둔 코스피, 주요 기업 2분기 '흐림' 예고에…약보합 마감[시황...",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008224515&office_id=421&code=005935&page=3&sm=
2025.04.30 15:51,"코스피, 휴장 앞두고 약보합 마감…환율 7일 만에 1420원대로",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000386584&office_id=629&code=005935&page=3&sm=
2025.04.30 13:15,[서울데이터랩]LG에너지솔루션 4.29% 하락 현재 시장에서 가장 큰 ...,서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003537829&office_id=081&code=005935&page=3&sm=
2025.04.30 10:17,[시황] 기술주 실적 발표 등 경계심리 '눈치보기 장세'…코스피 256...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002951217&office_id=119&code=005935&page=3&sm=
2025.04.30 09:48,"코스피, '근로자의 날' 휴장 앞두고 관망세로 출발[개장시황]",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008222961&office_id=421&code=005935&page=4&sm=
2025.04.30 09:34,"코스피, 외인·기관 매도에 장 초반 보합권 …환율 내림세",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000386361&office_id=629&code=005935&page=4&sm=
2025.04.30 09:31,"코스피, 관망 심리에 2560선에서 엎치락뒤치락",아시아경제,https://finance.naver.com/item/news_read.naver?article_id=0005585975&office_id=277&code=005935&page=4&sm=
2025.04.29 17:58,"코스피, 트럼프의 자동차부품 관세 완화에...17p '상승반전'",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358102&office_id=123&code=005935&page=4&sm=
2025.04.29 16:38,"코스피, 기관 매수에 2560선 회복···환율은↓",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000386246&office_id=629&code=005935&page=4&sm=
2025.04.29 16:13,[시황] 기관이 사들였다…코스피 2560선 마감,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002950987&office_id=119&code=005935&page=4&sm=
2025.04.29 16:13,"[마켓뷰] 기관 ‘사자’에 코스피, 한 달 만에 2560선 회복",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001073341&office_id=366&code=005935&page=4&sm=
2025.04.29 16:00,기관 '사자' 코스피 2560선 회복 마감…한화오션 12% 급락[시황종...,뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008221948&office_id=421&code=005935&page=4&sm=
2025.04.29 13:49,[서울데이터랩]한화오션 -12.09% 급락세,서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003537463&office_id=081&code=005935&page=4&sm=
2025.04.29 12:12,기관 ‘사자’에 2570선 넘보는 코스피,조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001073245&office_id=366&code=005935&page=4&sm=
2025.04.29 09:48,[시황] 미중 관세협상 공회전에 ‘주춤’…코스피 보합권 출발,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002950669&office_id=119&code=005935&page=5&sm=
2025.04.29 09:43,"코스피, 장 초반 보합권 혼조세···환율은↓",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000385965&office_id=629&code=005935&page=5&sm=
2025.04.29 09:24,"""미-중 관세 협상 공회전에""…코스피, 약보합 출발[개장시황]",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008220353&office_id=421&code=005935&page=5&sm=
2025.04.29 09:17,"코스피, 2540선에서 ‘오르락내리락’… 코스닥은 소폭 상승세",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001073155&office_id=366&code=005935&page=5&sm=
2025.04.28 17:00,"코스피, 관세공포 진정ㆍ조선 실적 기대감에...강보합 마감",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358009&office_id=123&code=005935&page=5&sm=
2025.04.28 16:44,[트럼프 스트레스] 美관세 우려 완화에도 관망세…코스피 2540대 강보...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002950449&office_id=119&code=005935&page=5&sm=
2025.04.28 16:11,"코스피, 2540선 강보합 마감···환율은 1440원선 올라서",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000385839&office_id=629&code=005935&page=5&sm=
2025.04.28 16:09,"""무역 갈등 아직 안심 이르다""…관망세에 코스피 강보합 마감[시황종.....",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008219591&office_id=421&code=005935&page=5&sm=
2025.04.28 16:02,"""미국 경제지표 줄줄이 앞뒀다"" 외국인 매도 공세 언제 그치나",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005187036&office_id=008&code=005935&page=5&sm=
2025.04.28 13:34,"코스피, 기관 매수에 보합세…코스닥은 1.4% 폭락[마감]",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006000154&office_id=018&code=005935&page=5&sm=
2025.04.28 13:07,[서울데이터랩]SK하이닉스 1.63% 하락하며 시장 하락세 주도,서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003537094&office_id=081&code=005935&page=6&sm=
