날짜,제목,언론사,URL
2025.05.07 18:36,"HD한국조선해양, 원유 운반선 2척 2511억원에 수주",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007234&office_id=018&code=009540&page=1&sm=
2025.05.07 18:35,방산·조선주 '호재 만발' 신고가 질주,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346210&office_id=014&code=009540&page=1&sm=
2025.05.07 16:28,"HD현대重 ""K-해양방산, 정부·조선소 협력으로 세계 공략해야"" [NF...",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008235681&office_id=421&code=009540&page=1&sm=
2025.05.07 16:20,잠수함 입찰·지정학 위기에…방산주 일제히 상승,한국경제TV,https://finance.naver.com/item/news_read.naver?article_id=0001208372&office_id=215&code=009540&page=1&sm=
2025.05.07 16:05,"한화오션·HD현대重, 33조원 규모 캐나다 잠수함 공동입찰 제안",아이뉴스24,https://finance.naver.com/item/news_read.naver?article_id=0000930125&office_id=031&code=009540&page=1&sm=
2025.05.07 15:43,조선株 희비…HD현대 3社·한화오션 '맑음' 삼성重 '흐림',한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128483&office_id=015&code=009540&page=1&sm=
2025.05.07 13:48,"HD현대삼호, 2511억 규모 '157K T/K' 2척 수주",블로터,https://finance.naver.com/item/news_read.naver?article_id=0000066941&office_id=293&code=009540&page=1&sm=
2025.05.07 13:05,디지털 전환·탄소중립 대응 '미래형 전시회' 코마린 2025 개최,뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008234887&office_id=421&code=009540&page=1&sm=
2025.05.07 10:02,"에이텀, 디에스티 인수해 조선·방산 시장 진출",이코노미스트,https://finance.naver.com/item/news_read.naver?article_id=0000077500&office_id=243&code=009540&page=1&sm=
2025.05.07 09:42,[이 시각 시황] 올해 日 항공 노선 승객 900만명 '역대 최대',SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000438993&office_id=374&code=009540&page=1&sm=
2025.05.07 09:15,"HD현대重·한화오션, 33조 캐나다 잠수함 입찰에 동반 강세[특징주]",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006600&office_id=018&code=009540&page=2&sm=
2025.05.07 05:01,"""기대 이상인데?""…실적발표 상장사 절반 이상은 '어닝 서프라이즈' [...",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482026&office_id=011&code=009540&page=2&sm=
2025.05.07 00:01,[조선강국의 귀환<하>] 유례없는 호황기…'빅3' 전략과 과제는?,더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387550&office_id=629&code=009540&page=2&sm=
2025.05.06 20:44,"""라이벌에서 원팀으로"" HD현대重·한화오션, 33조 캐나다 잠수함 노린...",한경비즈니스,https://finance.naver.com/item/news_read.naver?article_id=0000090403&office_id=050&code=009540&page=2&sm=
2025.05.06 18:38,배터리·조선 약진… 10곳 중 6곳 '어닝 서프라이즈',파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005345606&office_id=014&code=009540&page=2&sm=
2025.05.06 17:12,리밸런싱 한달앞…밸류업 지수 구성 종목 대폭 바뀌나,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004481911&office_id=011&code=009540&page=2&sm=
2025.05.06 16:36,해운사 머스크와 손잡은 HD현대...불붙는 해양 탈탄소 경쟁,중앙일보,https://finance.naver.com/item/news_read.naver?article_id=0003438949&office_id=025&code=009540&page=2&sm=
2025.05.06 15:51,"후판가격 협상, 조선 울고 철강은 웃었다",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005127992&office_id=015&code=009540&page=2&sm=
2025.05.06 15:24,"조선 빅3, 1분기 호실적 기록?한미 협력 기대감도 커져",아이뉴스24,https://finance.naver.com/item/news_read.naver?article_id=0000929812&office_id=031&code=009540&page=2&sm=
