날짜,제목,언론사,URL
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=012330&page=1&sm=
2025.05.07 11:11,차 안의 안전 ‘인캐빈 센싱’ 시장 커진다,헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467478&office_id=016&code=012330&page=1&sm=
2025.05.07 09:20,연휴 끝나고 기지개 켠 코스피…항공·조선·방산 테마 '활짝',머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190206&office_id=008&code=012330&page=1&sm=
2025.05.07 06:31,"조선이냐, 방산이냐…올해 시총 증가율 1위 업종은 [줍줍리포트]",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482052&office_id=011&code=012330&page=1&sm=
2025.05.06 17:12,리밸런싱 한달앞…밸류업 지수 구성 종목 대폭 바뀌나,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004481911&office_id=011&code=012330&page=1&sm=
2025.05.06 17:11,중국 ‘자동차 굴기’ 유감없이 보여준 세계 최대 모터쇼,부산일보,https://finance.naver.com/item/news_read.naver?article_id=0001324408&office_id=082&code=012330&page=1&sm=
2025.05.06 06:31,“지금 졸았죠? 전방 주시하세요” 첨단 감지 기술로 車안전성 UP…‘....,헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467022&office_id=016&code=012330&page=1&sm=
2025.05.05 11:45,Korean companies search for solutions a...,코리아중앙데일리,https://finance.naver.com/item/news_read.naver?article_id=0000069550&office_id=640&code=012330&page=1&sm=
2025.05.05 07:26,시총 증가율 상위권 '싹쓸이'...하반기 '살까 말까',한국경제TV,https://finance.naver.com/item/news_read.naver?article_id=0001208170&office_id=215&code=012330&page=1&sm=
2025.05.05 00:45,자동차 부품 ‘미 25% 관세’ 발효…“1대당 561만원 비싸진다”,중앙일보,https://finance.naver.com/item/news_read.naver?article_id=0003438686&office_id=025&code=012330&page=1&sm=
2025.05.04 16:52,"美, 자동차 부품 관세 발효…""생산비 대당 500만원 인상""",중앙일보,https://finance.naver.com/item/news_read.naver?article_id=0003438612&office_id=025&code=012330&page=2&sm=
2025.05.03 09:02,“마약과 같은 짝퉁...국가 경제를 망친다” [이코노 인터뷰],이코노미스트,https://finance.naver.com/item/news_read.naver?article_id=0000077384&office_id=243&code=012330&page=2&sm=
2025.05.03 09:00,[청기홍기]건설주 달라진 시선…현대·대우건설 목표가 상향,비즈워치,https://finance.naver.com/item/news_read.naver?article_id=0000035855&office_id=648&code=012330&page=2&sm=
