날짜,제목,언론사,URL
2025.05.07 19:30,"거래소, '유증 축소' 한화에어로 불성실공시 법인 미지정",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008236076&office_id=421&code=012450&page=1&sm=
2025.05.07 19:04,"'황제주' 향해 진격 앞으로…한화에어로, 현대차 제치고 '시총 5위'",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190641&office_id=008&code=012450&page=1&sm=
2025.05.07 18:35,방산·조선주 '호재 만발' 신고가 질주,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346210&office_id=014&code=012450&page=1&sm=
2025.05.07 18:08,"우리銀, 우크라 재건 참여 韓기업 지원한다",파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346157&office_id=014&code=012450&page=1&sm=
2025.05.07 17:58,"한화, 美워싱턴에 방산 3사 해외 컨트롤타워 신설",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482453&office_id=011&code=012450&page=1&sm=
2025.05.07 17:46,"한화에어로 최고가 경신, 시총 40조…현대차 제쳐",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128576&office_id=015&code=012450&page=1&sm=
2025.05.07 17:42,현대차 제친 한화에어로 … 코스피 시총 5위,매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488389&office_id=009&code=012450&page=1&sm=
2025.05.07 17:32,"코스피, 미-중 협상 재개에도 의약품관세가 발목...14p↑ 강보합 마...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358463&office_id=123&code=012450&page=1&sm=
2025.05.07 17:13,[트럼프 스트레스] 미중 무역협상 기대감과 FOMC 관망세 혼재…국내 ...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953352&office_id=119&code=012450&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=012450&page=1&sm=
2025.05.07 16:54,"코스피, 미중 무역협상 기대감에도 강보합 마감…한화에어로 `급등`",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952928&office_id=029&code=012450&page=2&sm=
2025.05.07 16:47,코스피 2570대 상승마감..코스닥 상승전환 [fn마감시황],파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346116&office_id=014&code=012450&page=2&sm=
2025.05.07 16:44,미중 협상 소식에 코스피 2570대 회복…외인 ‘사자세’ [투자360],헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467722&office_id=016&code=012450&page=2&sm=
2025.05.07 16:43,"코스피, 외인·기관 쌍끌이에 상승…2570선 '회복'",아시아경제,https://finance.naver.com/item/news_read.naver?article_id=0005588730&office_id=277&code=012450&page=2&sm=
2025.05.07 16:29,"[마켓뷰] 연휴 끝나고 돌아온 외인… 코스피, 한 달 만에 2570선 ...",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075117&office_id=366&code=012450&page=2&sm=
2025.05.07 16:29,"코스피, 외국인·기관 매수에 상승 마감…한화에어로 시총 5위 등극",TV조선,https://finance.naver.com/item/news_read.naver?article_id=0000525970&office_id=448&code=012450&page=2&sm=
2025.05.07 16:24,"코스피, 미중 무역협상 기대·FOMC 경계감 혼재 2,570대 상승(종...",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373854&office_id=001&code=012450&page=2&sm=
2025.05.07 16:20,잠수함 입찰·지정학 위기에…방산주 일제히 상승,한국경제TV,https://finance.naver.com/item/news_read.naver?article_id=0001208372&office_id=215&code=012450&page=2&sm=
2025.05.07 16:05,"한화오션·HD현대重, 33조원 규모 캐나다 잠수함 공동입찰 제안",아이뉴스24,https://finance.naver.com/item/news_read.naver?article_id=0000930125&office_id=031&code=012450&page=2&sm=
2025.05.07 16:02,"인도-파키스탄 무력충돌로 방산주 강세…한화에어로, 8.8%↑[핫종목]",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008235578&office_id=421&code=012450&page=2&sm=
2025.05.07 16:00,"4일 쉰 코스피, 외인·기관 매수 속 강보합…환율 변동성 확대",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387813&office_id=629&code=012450&page=3&sm=
2025.05.07 16:00,"주가 쭉쭉 오르더니…""100만원 찍겠네"" 삼바 이을 황제주는 이 주식?",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190506&office_id=008&code=012450&page=3&sm=
2025.05.07 15:56,"코스피, FOMC 결과 대기하며 상승…코스닥은 강보합",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128499&office_id=015&code=012450&page=3&sm=
2025.05.07 15:52,[서울데이터랩]‘오리엔트바이오’ 29.99% 상한가…금일 증시 상승률....,서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003539395&office_id=081&code=012450&page=3&sm=
2025.05.07 15:52,[서울데이터랩]마감 직후 인기 검색 종목 20選,서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003539394&office_id=081&code=012450&page=3&sm=
2025.05.07 15:52,인도-파키스탄 군사 충돌…방산株 일제히 강세 [핫스탁](종합),뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013227012&office_id=003&code=012450&page=3&sm=
2025.05.07 15:48,"코스피, 외인·기관 매수에 상승 마감…코스닥도 상승 반전",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007044&office_id=018&code=012450&page=3&sm=
2025.05.07 15:42,'가치투자' 액티브 공모펀드의 반전…변동 큰 장세에서 성과 두각,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128480&office_id=015&code=012450&page=3&sm=
2025.05.07 15:07,코스피 제한적 상승…기관 폭풍 매수,SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000439072&office_id=374&code=012450&page=3&sm=
2025.05.07 15:02,'전역 후 나의 일자리는?' 2025년 국군장병 취업박람회 '북적' [...,뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013226727&office_id=003&code=012450&page=3&sm=
2025.05.07 15:01,‘인도-파키스탄 군사충돌’…현지 진출 국내 기업들도 초긴장 “당장...,헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467645&office_id=016&code=012450&page=4&sm=
2025.05.07 13:58,"코스피, 2560선에서 강보합… 원/달러 환율 1390원대 기록",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075271&office_id=417&code=012450&page=4&sm=
2025.05.07 13:39,"코스피, 외인·기관 매수 속 강세…코스닥은 하락",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006913&office_id=018&code=012450&page=4&sm=
2025.05.07 11:43,"코스피, 기관·외인 ‘사자’에 2560선 강보합세",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075011&office_id=366&code=012450&page=4&sm=
2025.05.07 11:25,"우리은행 “바르샤바점, 우크라 재건 지원”",헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467510&office_id=016&code=012450&page=4&sm=
2025.05.07 11:25,"코스피, 장중 2,560대 제한적 상승…코스닥 낙폭 축소",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015372778&office_id=001&code=012450&page=4&sm=
2025.05.07 11:22,"코스피, 미중 협상 소식에 2570선 제한적 상승…코스닥은 하락",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128348&office_id=015&code=012450&page=4&sm=
2025.05.07 11:21,한화오션 美 'MRO' 효과…특수선 사업부 실적 좋아진다,뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013226049&office_id=003&code=012450&page=4&sm=
2025.05.07 10:56,美中 무역 협상 소식에도 코스피 상승세 ‘주춤’… 정치테마주 강세...,동아일보,https://finance.naver.com/item/news_read.naver?article_id=0003633329&office_id=020&code=012450&page=4&sm=
2025.05.07 10:40,‘목표가 100만원’…유럽 방위비 증가 수혜 기대 ‘한화에어로’ [오....,매경이코노미,https://finance.naver.com/item/news_read.naver?article_id=0000096963&office_id=024&code=012450&page=4&sm=
2025.05.07 10:26,'FOMC 경계감' 코스피 2570선 횡보..코스닥 하락 [fn오전시황...,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005345834&office_id=014&code=012450&page=5&sm=
