날짜,제목,언론사,URL
2025.05.07 18:41,"넷마블, '세븐나이츠 리버스' 성수동 필오프 옥외 광고 성료",데일리e스포츠,https://finance.naver.com/item/news_read.naver?article_id=0000186390&office_id=347&code=035420&page=1&sm=
2025.05.07 17:54,"""쿠팡 와우 따라잡자""…티빙 담는 배민클럽",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128595&office_id=015&code=035420&page=1&sm=
2025.05.07 17:50,구글 트래픽 비중 31% 돌파…'망 무임승차' 대응은 첩첩산중,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482433&office_id=011&code=035420&page=1&sm=
2025.05.07 17:46,"유심해킹으로 복제폰 제작?…""과도한 불안감 경계해야""",연합뉴스TV,https://finance.naver.com/item/news_read.naver?article_id=0000738149&office_id=422&code=035420&page=1&sm=
2025.05.07 17:17,"스틸시리즈, ‘오버워치2 러너리그X가정의 달 프로모션’ 진행",파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346133&office_id=014&code=035420&page=1&sm=
2025.05.07 17:17,"김민석 고용차관, AI 연구인력 주 64시간 여부에…“노동 전반 시스템...",전자신문,https://finance.naver.com/item/news_read.naver?article_id=0003310127&office_id=030&code=035420&page=1&sm=
2025.05.07 17:01,"네이버, '불량·유령 판매자' 소탕 작전…주2회 어뷰징하면 '네플스'에...",전자신문,https://finance.naver.com/item/news_read.naver?article_id=0003310096&office_id=030&code=035420&page=1&sm=
2025.05.07 17:01,"네이버 하이퍼클로바X, 파생모델 26종 등장…모델 다양화 뚜렷",전자신문,https://finance.naver.com/item/news_read.naver?article_id=0003310099&office_id=030&code=035420&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=035420&page=1&sm=
2025.05.07 16:49,"바른정보기술, 신리초에 외부인 출입 보안 시스템 '스쿨패스' 공급",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190565&office_id=008&code=035420&page=1&sm=
2025.05.07 16:40,"인터넷기업협회, 디지털입법 미비점 파헤친다",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075343&office_id=417&code=035420&page=2&sm=
2025.05.07 16:38,"""없어서 못 팔 정도""…`솔리드 3.0` 돌풍에 KT&G 전자담배 순항",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952919&office_id=029&code=035420&page=2&sm=
2025.05.07 16:30,의약품 관세도 임박…짙게 깔린 FOMC 경계감 [마켓인사이트],한국경제TV,https://finance.naver.com/item/news_read.naver?article_id=0001208374&office_id=215&code=035420&page=2&sm=
2025.05.07 16:27,"마케팅팀의 새로운 팀원은 AI…브이캣, 콘텐츠 자동화 시대 연다",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190530&office_id=008&code=035420&page=2&sm=
2025.05.07 16:18,“대선 후보가 이런 짓까지 했다고?”…판치는 딥페이크에 정치권도 ...,매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488294&office_id=009&code=035420&page=2&sm=
2025.05.07 15:48,"코스피, 외인·기관 매수에 상승 마감…코스닥도 상승 반전",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007044&office_id=018&code=035420&page=2&sm=
2025.05.07 15:30,"""이커머스 ‘20일 정산기한’, 시장 독과점 부추겨""",지디넷코리아,https://finance.naver.com/item/news_read.naver?article_id=0002373331&office_id=092&code=035420&page=2&sm=
2025.05.07 14:54,"넷플릭스 35%, 네이버 22%…경쟁시장에 일괄규제? “맞춤형 규제 설...",매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488184&office_id=009&code=035420&page=2&sm=
2025.05.07 14:40,美 하원의원 韓 플랫폼법 저격 법안 다시 꺼냈다,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482317&office_id=011&code=035420&page=2&sm=
2025.05.07 13:39,"코스피, 외인·기관 매수 속 강세…코스닥은 하락",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006913&office_id=018&code=035420&page=2&sm=
2025.05.07 13:25,"페이팔·비자·마스터, 글로벌 결제 공룡 일제히 상거래 분야 AI에이전....",전자신문,https://finance.naver.com/item/news_read.naver?article_id=0003309973&office_id=030&code=035420&page=3&sm=
