날짜,제목,언론사,URL
2025.05.07 18:35,방산·조선주 '호재 만발' 신고가 질주,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346210&office_id=014&code=042660&page=1&sm=
2025.05.07 17:58,"한화, 美워싱턴에 방산 3사 해외 컨트롤타워 신설",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482453&office_id=011&code=042660&page=1&sm=
2025.05.07 17:30,"HD현대·한화, '원팀' 협력 첫 결실 맺을까…加 잠수함 수주 도전장",비즈워치,https://finance.naver.com/item/news_read.naver?article_id=0000035928&office_id=648&code=042660&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=042660&page=1&sm=
2025.05.07 17:00,"한화 건설부문, 1Q 영업익 130억원…전년比 39% 증가",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387843&office_id=629&code=042660&page=1&sm=
2025.05.07 16:43,"코스피, 외인·기관 쌍끌이에 상승…2570선 '회복'",아시아경제,https://finance.naver.com/item/news_read.naver?article_id=0005588730&office_id=277&code=042660&page=1&sm=
2025.05.07 16:24,"코스피, 미중 무역협상 기대·FOMC 경계감 혼재 2,570대 상승(종...",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373854&office_id=001&code=042660&page=1&sm=
2025.05.07 16:20,잠수함 입찰·지정학 위기에…방산주 일제히 상승,한국경제TV,https://finance.naver.com/item/news_read.naver?article_id=0001208372&office_id=215&code=042660&page=1&sm=
2025.05.07 15:52,[서울데이터랩]마감 직후 인기 검색 종목 20選,서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003539394&office_id=081&code=042660&page=1&sm=
2025.05.07 15:43,조선株 희비…HD현대 3社·한화오션 '맑음' 삼성重 '흐림',한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128483&office_id=015&code=042660&page=1&sm=
2025.05.07 13:09,[특징주] 33조 캐나다 잠수함 입찰에…HD현대중공업 ‘52주 신고가’...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953211&office_id=119&code=042660&page=2&sm=
2025.05.07 13:05,디지털 전환·탄소중립 대응 '미래형 전시회' 코마린 2025 개최,뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008234887&office_id=421&code=042660&page=2&sm=
2025.05.07 11:37,[주식 초고수는 지금]원전·전력株 줍줍…두산에너빌 순매수 1위,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482266&office_id=011&code=042660&page=2&sm=
2025.05.07 11:25,"코스피, 장중 2,560대 제한적 상승…코스닥 낙폭 축소",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015372778&office_id=001&code=042660&page=2&sm=
2025.05.07 11:22,"코스피, 미중 협상 소식에 2570선 제한적 상승…코스닥은 하락",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128348&office_id=015&code=042660&page=2&sm=
