날짜,제목,언론사,URL
2025.05.07 19:28,"[바이오게시판] 종근당, 50여 년 만에 새로운 기업 이미지 공개 등",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075166&office_id=366&code=068270&page=1&sm=
2025.05.07 19:10,"항공주, 미국발 호재에 급등",국제신문,https://finance.naver.com/item/news_read.naver?article_id=0000106344&office_id=658&code=068270&page=1&sm=
2025.05.07 18:37,"해외 AI 활용 신약개발 활발 ""한국도 경쟁력 확보 나서야""",파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346216&office_id=014&code=068270&page=1&sm=
2025.05.07 17:55,트럼프 관세 날벼락에…美 제약·바이오株 줄하락,매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488426&office_id=009&code=068270&page=1&sm=
2025.05.07 17:45,신약 마일스톤은 무풍지대…빅파마 '韓 R&D 여력' 줄어들 수도,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482426&office_id=011&code=068270&page=1&sm=
2025.05.07 17:32,"코스피, 미-중 협상 재개에도 의약품관세가 발목...14p↑ 강보합 마...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358463&office_id=123&code=068270&page=1&sm=
2025.05.07 17:13,[트럼프 스트레스] 미중 무역협상 기대감과 FOMC 관망세 혼재…국내 ...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953352&office_id=119&code=068270&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=068270&page=1&sm=
2025.05.07 16:54,"코스피, 미중 무역협상 기대감에도 강보합 마감…한화에어로 `급등`",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952928&office_id=029&code=068270&page=1&sm=
2025.05.07 16:46,"코스피, 미·중 회담 기대감에 2570선 회복…외인·기관 순매수(종합)",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013227217&office_id=003&code=068270&page=1&sm=
