날짜,제목,언론사,URL
2025.05.07 19:57,“우리는 사실상 지방인데”...수도권인 듯 수도권 같지 않은 지역들.....,매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488517&office_id=009&code=086790&page=1&sm=
2025.05.07 18:49,하루새 20원 이상 널뛴 환율… “美 약달러 유도 압박 경계감”,국민일보,https://finance.naver.com/item/news_read.naver?article_id=0001774610&office_id=005&code=086790&page=1&sm=
2025.05.07 18:34,환율 떨어지자 항공주 날았다… 유가·금리 등은 변수,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346209&office_id=014&code=086790&page=1&sm=
2025.05.07 18:20,"하나금융, 발달·청각 장애인 취업교육",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128643&office_id=015&code=086790&page=1&sm=
2025.05.07 17:42,한국 증시 외면할 땐 언제고…외국인도 싹쓸이한 이 종목,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128570&office_id=015&code=086790&page=1&sm=
2025.05.07 17:13,"환율 1,300원대로…미·중 협상 기대·'제2 플라자합의' 경계도(종합...",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373987&office_id=001&code=086790&page=1&sm=
2025.05.07 17:13,"미중 협상에 휘청이는 원화…""환율 되돌림도 배제 못해"" [김혜란의 FX...",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482400&office_id=011&code=086790&page=1&sm=
2025.05.07 17:07,"하나금융, 발달·청각장애인 자립 돕는다…취업교육·인턴십 지원",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013227271&office_id=003&code=086790&page=1&sm=
2025.05.07 16:54,"코스피, 미중 무역협상 기대감에도 강보합 마감…한화에어로 `급등`",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952928&office_id=029&code=086790&page=1&sm=
2025.05.07 16:16,1억 넣으면 계좌에 꽂히는 돈이…1년 만에 '화들짝',한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128514&office_id=015&code=086790&page=1&sm=
2025.05.07 16:15,"'외국인도 보험 가입 쉽게'…금감원, 현황 파악 착수",비즈워치,https://finance.naver.com/item/news_read.naver?article_id=0000035920&office_id=648&code=086790&page=2&sm=
2025.05.07 16:01,"1400원 아래로 내려간 원달러 환율, 코스피 상승 마감",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013227080&office_id=003&code=086790&page=2&sm=
2025.05.07 15:59,코스피 상승 마감,연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373760&office_id=001&code=086790&page=2&sm=
