날짜,제목,언론사,URL
2025.05.07 18:34,환율 떨어지자 항공주 날았다… 유가·금리 등은 변수,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346209&office_id=014&code=105560&page=1&sm=
2025.05.07 17:42,한국 증시 외면할 땐 언제고…외국인도 싹쓸이한 이 종목,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128570&office_id=015&code=105560&page=1&sm=
2025.05.07 17:32,"코스피, 미-중 협상 재개에도 의약품관세가 발목...14p↑ 강보합 마...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358463&office_id=123&code=105560&page=1&sm=
2025.05.07 17:13,[트럼프 스트레스] 미중 무역협상 기대감과 FOMC 관망세 혼재…국내 ...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953352&office_id=119&code=105560&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=105560&page=1&sm=
2025.05.07 16:44,미중 협상 소식에 코스피 2570대 회복…외인 ‘사자세’ [투자360],헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467722&office_id=016&code=105560&page=1&sm=
2025.05.07 16:29,"[마켓뷰] 연휴 끝나고 돌아온 외인… 코스피, 한 달 만에 2570선 ...",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075117&office_id=366&code=105560&page=1&sm=
2025.05.07 16:29,코스피 0.55% 오른 2573.80 마감… 한화에어로 8.8% 상승,머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075338&office_id=417&code=105560&page=1&sm=
2025.05.07 16:24,"코스피, 미중 무역협상 기대·FOMC 경계감 혼재 2,570대 상승(종...",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373854&office_id=001&code=105560&page=1&sm=
2025.05.07 16:22,토허제 확대 뒤 강남3구·용산 아파트 거래량 96%↓,한겨레,https://finance.naver.com/item/news_read.naver?article_id=0002744623&office_id=028&code=105560&page=1&sm=
2025.05.07 16:16,1억 넣으면 계좌에 꽂히는 돈이…1년 만에 '화들짝',한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128514&office_id=015&code=105560&page=2&sm=
2025.05.07 16:00,"4일 쉰 코스피, 외인·기관 매수 속 강보합…환율 변동성 확대",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387813&office_id=629&code=105560&page=2&sm=
