날짜,제목,언론사,URL
2025.05.07 19:10,"항공주, 미국발 호재에 급등",국제신문,https://finance.naver.com/item/news_read.naver?article_id=0000106344&office_id=658&code=207940&page=1&sm=
2025.05.07 19:04,"'황제주' 향해 진격 앞으로…한화에어로, 현대차 제치고 '시총 5위'",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190641&office_id=008&code=207940&page=1&sm=
2025.05.07 18:04,"아스트라제네카 ""빅파마-바이오벤처 공생해야…협업이 곧 혁신""",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190630&office_id=008&code=207940&page=1&sm=
2025.05.07 17:55,트럼프 관세 날벼락에…美 제약·바이오株 줄하락,매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488426&office_id=009&code=207940&page=1&sm=
2025.05.07 17:32,"코스피, 미-중 협상 재개에도 의약품관세가 발목...14p↑ 강보합 마...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358463&office_id=123&code=207940&page=1&sm=
2025.05.07 17:17,현대차 제친 한화에어로 `시총 5위`…`황제주` 등극 초읽기?,디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952942&office_id=029&code=207940&page=1&sm=
2025.05.07 17:13,[트럼프 스트레스] 미중 무역협상 기대감과 FOMC 관망세 혼재…국내 ...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953352&office_id=119&code=207940&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=207940&page=1&sm=
2025.05.07 16:54,"코스피, 미중 무역협상 기대감에도 강보합 마감…한화에어로 `급등`",디지털타임스,https://finance.naver.com/item/news_read.naver?article_id=0002952928&office_id=029&code=207940&page=1&sm=
2025.05.07 16:46,"코스피, 미·중 회담 기대감에 2570선 회복…외인·기관 순매수(종합)",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013227217&office_id=003&code=207940&page=1&sm=
2025.05.07 16:44,미중 협상 소식에 코스피 2570대 회복…외인 ‘사자세’ [투자360],헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467722&office_id=016&code=207940&page=2&sm=
2025.05.07 16:43,"코스피, 외인·기관 쌍끌이에 상승…2570선 '회복'",아시아경제,https://finance.naver.com/item/news_read.naver?article_id=0005588730&office_id=277&code=207940&page=2&sm=
2025.05.07 16:39,"롯데바이오로직스, 美 생산시설 확보한 CDMO…관세 전쟁이 오히려 기....",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190546&office_id=008&code=207940&page=2&sm=
2025.05.07 16:29,"코스피, 외국인·기관 매수에 상승 마감…한화에어로 시총 5위 등극",TV조선,https://finance.naver.com/item/news_read.naver?article_id=0000525970&office_id=448&code=207940&page=2&sm=
2025.05.07 16:29,"[마켓뷰] 연휴 끝나고 돌아온 외인… 코스피, 한 달 만에 2570선 ...",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075117&office_id=366&code=207940&page=2&sm=
2025.05.07 16:24,"코스피, 미중 무역협상 기대·FOMC 경계감 혼재 2,570대 상승(종...",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373854&office_id=001&code=207940&page=2&sm=
2025.05.07 16:13,美의약품 관세 예고에 바이오株 하락…삼성바이오 4%↓(종합),연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373814&office_id=001&code=207940&page=2&sm=
2025.05.07 16:03,황제주 등극 앞둔 삼양식품 환율 급락 여파에 주춤,강원도민일보,https://finance.naver.com/item/news_read.naver?article_id=0000119785&office_id=654&code=207940&page=2&sm=
2025.05.07 16:00,"4일 쉰 코스피, 외인·기관 매수 속 강보합…환율 변동성 확대",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387813&office_id=629&code=207940&page=2&sm=
2025.05.07 16:00,"주가 쭉쭉 오르더니…""100만원 찍겠네"" 삼바 이을 황제주는 이 주식?",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190506&office_id=008&code=207940&page=2&sm=
2025.05.07 15:56,"코스피, FOMC 결과 대기하며 상승…코스닥은 강보합",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128499&office_id=015&code=207940&page=3&sm=
2025.05.07 15:55,"""2주 내 관세부과"" 트럼프 예고에 바이오株 급락…SK바이오팜 7%↓[...",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008235552&office_id=421&code=207940&page=3&sm=
2025.05.07 15:48,"코스피, 외인·기관 매수에 상승 마감…코스닥도 상승 반전",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007044&office_id=018&code=207940&page=3&sm=
2025.05.07 15:47,"셀트리온, 미국 재고 6개월분 추가... 바이오협회, ""의약품 관세 면...",한국일보,https://finance.naver.com/item/news_read.naver?article_id=0000863405&office_id=469&code=207940&page=3&sm=
2025.05.07 15:45,반도체·전력 등 관세 충격 털어낼 '실적 개선주'에 주목하라,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128488&office_id=015&code=207940&page=3&sm=
2025.05.07 15:07,코스피 제한적 상승…기관 폭풍 매수,SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000439072&office_id=374&code=207940&page=3&sm=
2025.05.07 14:48,'무풍지대' 의약품도 관세…제약주 운명은,뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013226668&office_id=003&code=207940&page=3&sm=
2025.05.07 13:58,"코스피, 2560선에서 강보합… 원/달러 환율 1390원대 기록",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075271&office_id=417&code=207940&page=3&sm=
2025.05.07 13:39,"코스피, 외인·기관 매수 속 강세…코스닥은 하락",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006913&office_id=018&code=207940&page=3&sm=
2025.05.07 11:43,"코스피, 기관·외인 ‘사자’에 2560선 강보합세",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075011&office_id=366&code=207940&page=3&sm=
2025.05.07 11:36,"코스피, FOMC 경계감에 상승폭 제한…뉴욕증시 이틀 연속 하락",SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000439024&office_id=374&code=207940&page=4&sm=
2025.05.07 11:29,[ET라씨로] 美 의약품 관세 예고…삼성바이오 등 바이오株 약세,전자신문,https://finance.naver.com/item/news_read.naver?article_id=0003309905&office_id=030&code=207940&page=4&sm=
2025.05.07 11:25,"코스피, 장중 2,560대 제한적 상승…코스닥 낙폭 축소",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015372778&office_id=001&code=207940&page=4&sm=
2025.05.07 11:22,"코스피, 미중 협상 소식에 2570선 제한적 상승…코스닥은 하락",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128348&office_id=015&code=207940&page=4&sm=
