날짜,제목,언론사,URL
2025.05.07 18:35,방산·조선주 '호재 만발' 신고가 질주,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005346210&office_id=014&code=329180&page=1&sm=
2025.05.07 18:04,"""트럼프2.0과 한국, 위기는 곧 재도약 기회""…NFF2025 성료(종...",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008235942&office_id=421&code=329180&page=1&sm=
2025.05.07 17:45,"이기동 대표 ""최대실적 결실 맺은 상장 1년…이젠 지속성장 모멘텀 만....",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482427&office_id=011&code=329180&page=1&sm=
2025.05.07 17:42,HD현대마린 코스피200 편입 기대,매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488387&office_id=009&code=329180&page=1&sm=
2025.05.07 17:32,"코스피, 미-중 협상 재개에도 의약품관세가 발목...14p↑ 강보합 마...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358463&office_id=123&code=329180&page=1&sm=
2025.05.07 17:30,"HD현대·한화, '원팀' 협력 첫 결실 맺을까…加 잠수함 수주 도전장",비즈워치,https://finance.naver.com/item/news_read.naver?article_id=0000035928&office_id=648&code=329180&page=1&sm=
2025.05.07 17:13,[트럼프 스트레스] 미중 무역협상 기대감과 FOMC 관망세 혼재…국내 ...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953352&office_id=119&code=329180&page=1&sm=
2025.05.07 17:02,"HD현대중공업, ‘신입사원 부모 초청 행사’ 진행",데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953341&office_id=119&code=329180&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=329180&page=1&sm=
2025.05.07 16:44,미중 협상 소식에 코스피 2570대 회복…외인 ‘사자세’ [투자360],헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467722&office_id=016&code=329180&page=1&sm=
2025.05.07 16:43,"코스피, 외인·기관 쌍끌이에 상승…2570선 '회복'",아시아경제,https://finance.naver.com/item/news_read.naver?article_id=0005588730&office_id=277&code=329180&page=2&sm=
2025.05.07 16:29,코스피 0.55% 오른 2573.80 마감… 한화에어로 8.8% 상승,머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075338&office_id=417&code=329180&page=2&sm=
2025.05.07 16:29,"[마켓뷰] 연휴 끝나고 돌아온 외인… 코스피, 한 달 만에 2570선 ...",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075117&office_id=366&code=329180&page=2&sm=
2025.05.07 16:28,"HD현대重 ""K-해양방산, 정부·조선소 협력으로 세계 공략해야"" [NF...",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008235681&office_id=421&code=329180&page=2&sm=
2025.05.07 16:24,"코스피, 미중 무역협상 기대·FOMC 경계감 혼재 2,570대 상승(종...",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373854&office_id=001&code=329180&page=2&sm=
2025.05.07 16:20,잠수함 입찰·지정학 위기에…방산주 일제히 상승,한국경제TV,https://finance.naver.com/item/news_read.naver?article_id=0001208372&office_id=215&code=329180&page=2&sm=
2025.05.07 16:00,"4일 쉰 코스피, 외인·기관 매수 속 강보합…환율 변동성 확대",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387813&office_id=629&code=329180&page=2&sm=
2025.05.07 15:48,"코스피, 외인·기관 매수에 상승 마감…코스닥도 상승 반전",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007044&office_id=018&code=329180&page=2&sm=
2025.05.07 15:43,조선株 희비…HD현대 3社·한화오션 '맑음' 삼성重 '흐림',한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128483&office_id=015&code=329180&page=2&sm=
