날짜,제목,언론사,URL
2025.05.07 19:04,"'황제주' 향해 진격 앞으로…한화에어로, 현대차 제치고 '시총 5위'",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190641&office_id=008&code=373220&page=1&sm=
2025.05.07 18:38,'인터배터리 유럽 2025' LG에너지솔루션 부스 둘러보는 참관객들,뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013227429&office_id=003&code=373220&page=1&sm=
2025.05.07 18:27,꿈의 '전고체 배터리'…엇갈린 폼팩터 선택,한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128661&office_id=015&code=373220&page=1&sm=
2025.05.07 17:59,"“중국만 중요한가? 유럽도 있다”…LG엔솔·삼성SDI, 독일서 차세대....",매일경제,https://finance.naver.com/item/news_read.naver?article_id=0005488442&office_id=009&code=373220&page=1&sm=
2025.05.07 17:32,"코스피, 미-중 협상 재개에도 의약품관세가 발목...14p↑ 강보합 마...",조세일보,https://finance.naver.com/item/news_read.naver?article_id=0002358463&office_id=123&code=373220&page=1&sm=
2025.05.07 17:17,"환율 내리자 돌아온 외인...""코스피 2700 간다"" [박해린의 마켓톡...",한국경제TV,https://finance.naver.com/item/news_read.naver?article_id=0001208386&office_id=215&code=373220&page=1&sm=
2025.05.07 17:13,[트럼프 스트레스] 미중 무역협상 기대감과 FOMC 관망세 혼재…국내 ...,데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953352&office_id=119&code=373220&page=1&sm=
2025.05.07 17:00,"""이재명 재판 연기"" 이 소식에 30% 뛰었다…테마주 줄줄이 상한가",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190579&office_id=008&code=373220&page=1&sm=
2025.05.07 16:46,"코스피, 미·중 회담 기대감에 2570선 회복…외인·기관 순매수(종합)",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013227217&office_id=003&code=373220&page=1&sm=
2025.05.07 16:44,미중 협상 소식에 코스피 2570대 회복…외인 ‘사자세’ [투자360],헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467722&office_id=016&code=373220&page=1&sm=
2025.05.07 16:31,"전략은 유지, 완성도는 향상…LG엔솔·삼성SDI, '인터배터리 유럽'서...",디지털데일리,https://finance.naver.com/item/news_read.naver?article_id=0002196027&office_id=138&code=373220&page=2&sm=
2025.05.07 16:29,코스피 0.55% 오른 2573.80 마감… 한화에어로 8.8% 상승,머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075338&office_id=417&code=373220&page=2&sm=
2025.05.07 16:29,"[마켓뷰] 연휴 끝나고 돌아온 외인… 코스피, 한 달 만에 2570선 ...",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075117&office_id=366&code=373220&page=2&sm=
2025.05.07 16:24,"코스피, 미중 무역협상 기대·FOMC 경계감 혼재 2,570대 상승(종...",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015373854&office_id=001&code=373220&page=2&sm=
2025.05.07 16:00,"4일 쉰 코스피, 외인·기관 매수 속 강보합…환율 변동성 확대",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387813&office_id=629&code=373220&page=2&sm=
2025.05.07 15:57,[포스트 EV캐즘] '가성비' 테슬라 판매 대세에 'LG엔솔 비상',블로터,https://finance.naver.com/item/news_read.naver?article_id=0000066965&office_id=293&code=373220&page=2&sm=
2025.05.07 15:56,"국내 배터리 3사, 1Q 세계 점유율 18.7%?전년비 4.6%p ↓",아이뉴스24,https://finance.naver.com/item/news_read.naver?article_id=0000930118&office_id=031&code=373220&page=2&sm=
2025.05.07 15:48,"코스피, 외인·기관 매수에 상승 마감…코스닥도 상승 반전",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006007044&office_id=018&code=373220&page=2&sm=
2025.05.07 13:58,"코스피, 2560선에서 강보합… 원/달러 환율 1390원대 기록",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075271&office_id=417&code=373220&page=2&sm=
2025.05.07 11:31,美 ESS 적극 공략하는 K배터리…내년 역성장 우려,뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013226074&office_id=003&code=373220&page=2&sm=
2025.05.07 11:22,"코스피, 미중 협상 소식에 2570선 제한적 상승…코스닥은 하락",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128348&office_id=015&code=373220&page=3&sm=
2025.05.07 10:17,"[시황] 코스피, FOMC·의약품 관세 경계감에 관망세…코스닥 약보합",데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953100&office_id=119&code=373220&page=3&sm=
2025.05.07 10:15,"'미중 협상 기대감' 코스피, 장중 2580선 돌파…외인·기관 유입",뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013225732&office_id=003&code=373220&page=3&sm=
2025.05.07 09:50,"코스피, 미중 무역협상 진행 소식에 상승 출발…환율은 1380원 개장",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387607&office_id=629&code=373220&page=3&sm=
2025.05.07 09:44,"코스피, '미중 협상 개시' 소식에 상승 출발[개장시황]",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008234103&office_id=421&code=373220&page=3&sm=
2025.05.07 09:30,"코스피, 2560선 강보합권 등락…환율 6개월만에 1380원선 [영상]",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128272&office_id=015&code=373220&page=3&sm=
2025.05.07 09:20,연휴 끝나고 기지개 켠 코스피…항공·조선·방산 테마 '활짝',머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190206&office_id=008&code=373220&page=3&sm=
2025.05.07 09:16,"연휴 끝난 코스피, 미중 무역협상 기대감에 2570선 출발",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001074940&office_id=366&code=373220&page=3&sm=
2025.05.07 09:11,"코스피, 외인·기관 쌍끌이 매수에 상승 출발…코스닥은 약세",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006594&office_id=018&code=373220&page=3&sm=
2025.05.07 08:31,"[어제장 오늘장] 고령위, 다자녀 생활 혜택 강화…저출산 관련주 강세",SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000438980&office_id=374&code=373220&page=3&sm=
2025.05.07 08:26,"""미국 브랜드, 이미 훼손"" 월가 거물들의 '경고'…""1400원선 깨졌...",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482096&office_id=011&code=373220&page=4&sm=
2025.05.07 07:51,"[애프터마켓 리뷰] ""NXT 효과 뚜렷""…연휴 앞 올빼미 공시 '뚝'",SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000438971&office_id=374&code=373220&page=4&sm=
2025.05.07 06:45,"유럽 전기차 판매, 캐즘에도 1Q 28%↑…K-베터리 '가뭄 속 단비'",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008233761&office_id=421&code=373220&page=4&sm=
2025.05.07 05:05,"트럼프 '관세 태풍', K-배터리 앞에 '비포장 도로' 만들었다",머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190116&office_id=008&code=373220&page=4&sm=
2025.05.07 05:01,"""기대 이상인데?""…실적발표 상장사 절반 이상은 '어닝 서프라이즈' [...",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482026&office_id=011&code=373220&page=4&sm=
2025.05.07 03:05,캐즘 위기속 신사업 눈돌리는 배터리업계,동아일보,https://finance.naver.com/item/news_read.naver?article_id=0003633234&office_id=020&code=373220&page=4&sm=
2025.05.06 21:11,"[미리보는 이데일리 신문]영화·의약품도 겨눈 트럼프…월가 ""美신뢰...",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006418&office_id=018&code=373220&page=4&sm=
2025.05.06 21:06,"‘K배터리’ 간판 LG엔솔·삼성SDI, ESS용 신제품으로 유럽시장 공...",경향신문,https://finance.naver.com/item/news_read.naver?article_id=0003367772&office_id=032&code=373220&page=4&sm=
2025.05.06 18:00,LG엔솔·삼성SDI 등 '세계 2위 시장' 유럽 인터배터리 참가,일간스포츠,https://finance.naver.com/item/news_read.naver?article_id=0003434904&office_id=241&code=373220&page=5&sm=
2025.05.06 17:27,"LG엔솔·삼성SDI, 유럽 겨냥 배터리 출시",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128026&office_id=015&code=373220&page=5&sm=
2025.05.06 17:12,리밸런싱 한달앞…밸류업 지수 구성 종목 대폭 바뀌나,서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004481911&office_id=011&code=373220&page=5&sm=
